Cluster_Method,Opt-k,Accuracy,F1_score,Avg_samples_cluster,Avg_classes_cluster
K_Means_F1,48.0,0.376,0.32711813340479007,15.645833333333334,7.541666666666667
BIRCH_F1,30.0,0.284,0.21934616755793226,25.033333333333335,9.1
GMM_F1,68.0,0.292,0.2537202260439583,11.044117647058824,5.867647058823529
Bis_K_Means_F1,77.0,0.128,0.08420666367155931,9.753246753246753,7.597402597402597
