,k,target
0,32.337749626636366,1.0
1,79.00785881920321,1.0
2,61.291509286723816,1.0
3,50.491337219959966,1.0
4,14.637509875837358,1.0
5,2.0004484707347774,0.9999999999859577
6,57.43364352050398,1.0
7,22.917926571612995,1.0
8,41.13425223837674,1.0
9,70.92787467777761,1.0
10,82.99914398676555,1.0
11,18.40038153449381,1.0
12,27.835176750471877,1.0
13,45.72385865221233,1.0
14,66.34493555014785,1.0
15,36.72623230867894,1.0
16,74.96475823803276,1.0
17,53.880783729282044,1.0
18,16.25779220980314,1.0
19,63.91395118969775,1.0
20,25.394474450717812,1.0
21,48.00715913539212,1.0
22,81.23880806126635,1.0
23,38.89553231975857,1.0
24,68.79661244089974,1.0
